Time,TempC,C3,C5,C7,E3,E5,E7,G3,G5,G7,I3,I5,I7
508.03,29,1266,1364,1280,1877,1793,1975,324,355,307,10,33,10
510.03,29,1276,1389,1284,1874,1743,1990,330,371,312,10,19,12
512.03,29.1,1306,1405,1290,1901,1794,2020,325,375,320,13,20,8
514.03,29.1,1296,1408,1309,1910,1794,2040,341,371,319,13,20,14
516.03,29,1294,1416,1307,1917,1812,2016,337,370,294,14,21,13
518.03,29,1299,1437,1300,1958,1829,2010,331,369,323,15,25,10
520.03,29,1330,1412,1311,1944,1800,2038,340,388,333,13,22,9
522.03,29,1319,1417,1326,1927,1841,2046,336,390,336,14,23,11
524.03,29,1315,1438,1328,1939,1838,2074,344,377,325,19,15,1
526.03,29,1312,1450,1326,1977,1843,2058,354,392,334,17,22,10
528.03,29,1308,1445,1387,1999,1849,2076,347,399,346,18,22,0
530.03,29,1324,1452,1377,1982,1865,2097,364,413,338,19,18,7
532.03,29,1349,1498,1386,1988,1857,2081,360,406,339,20,21,3
534.03,29,1364,1493,1403,1979,1887,2141,359,421,353,15,21,6
536.03,29.1,1378,1482,1427,2038,1883,2158,374,426,359,20,25,9
538.03,29,1382,1508,1410,2035,1899,2137,368,425,369,11,25,10
540.03,29,1375,1490,1425,2039,1886,2129,376,420,358,23,23,7
542.03,29,1390,1510,1422,2052,1914,2160,389,443,365,21,27,3
544.03,29,1385,1522,1423,2049,1923,2156,390,432,360,16,19,0
546.03,29,1401,1504,1442,2070,1946,2154,379,412,366,16,27,4
548.03,29,1417,1540,1407,2051,1960,2173,385,431,361,8,17,11
550.03,29,1406,1560,1430,2065,1964,2183,383,416,361,18,27,14
552.03,29,1416,1520,1416,2066,1944,2181,401,424,373,14,19,0
554.03,29.1,1423,1569,1455,2100,1968,2188,399,434,385,21,18,4
556.03,29,1423,1551,1434,2079,1997,2194,390,446,376,12,15,11
558.03,29,1426,1545,1463,2076,1988,2208,396,433,377,15,13,2
560.03,29,1458,1568,1471,2112,2011,2192,408,452,395,12,23,12
562.03,29,1458,1562,1472,2145,2023,2252,395,449,394,11,20,12
564.03,29,1453,1552,1494,2100,2018,2263,408,449,394,7,16,5
566.03,29,1464,1584,1482,2129,2016,2278,420,458,409,15,21,7
568.03,29,1463,1603,1480,2144,2017,2281,406,465,402,13,21,10
570.03,29,1478,1607,1516,2140,2048,2260,414,457,414,15,13,7
572.03,29,1497,1604,1490,2151,2037,2265,414,463,399,19,18,7
574.03,29,1495,1629,1546,2153,2057,2279,420,460,411,10,23,6
576.03,29,1501,1625,1507,2149,2067,2277,427,461,396,16,18,7
578.03,29,1505,1607,1513,2204,2070,2302,414,451,410,18,14,10
580.03,29,1486,1607,1494,2190,2067,2307,430,466,405,17,18,5
582.03,29,1506,1634,1500,2239,2082,2315,423,475,409,14,24,14
584.03,29,1503,1626,1533,2215,2099,2340,420,480,409,12,24,8
586.03,29,1511,1628,1542,2224,2087,2328,435,479,408,16,20,10
588.03,29,1513,1634,1532,2221,2100,2336,443,480,413,17,23,10
590.03,29,1546,1663,1546,2207,2100,2365,441,474,426,18,19,10
592.03,29,1538,1657,1571,2244,2125,2361,455,492,433,14,17,0
