"","run.order","std.order","x1","x2","x3","x4","x5","x6"
"15.4",89,89,-1,1,1,1,-1,-1
"15.5",90,90,-1,1,1,1,-1,-1
"16",91,91,1,1,1,1,-1,-1
"16.1",92,92,1,1,1,1,-1,-1
"16.2",93,93,1,1,1,1,-1,-1
"16.3",94,94,1,1,1,1,-1,-1
"16.4",95,95,1,1,1,1,-1,-1
"16.5",96,96,1,1,1,1,-1,-1
"17",97,97,-1,-1,-1,-1,1,-1
"17.1",98,98,-1,-1,-1,-1,1,-1
"17.2",99,99,-1,-1,-1,-1,1,-1
"17.3",100,100,-1,-1,-1,-1,1,-1
"17.4",101,101,-1,-1,-1,-1,1,-1
"17.5",102,102,-1,-1,-1,-1,1,-1
"18",103,103,1,-1,-1,-1,1,-1
"18.1",104,104,1,-1,-1,-1,1,-1
"18.2",105,105,1,-1,-1,-1,1,-1
"18.3",106,106,1,-1,-1,-1,1,-1
"18.4",107,107,1,-1,-1,-1,1,-1
"18.5",108,108,1,-1,-1,-1,1,-1
"19",109,109,-1,1,-1,-1,1,-1
"19.1",110,110,-1,1,-1,-1,1,-1
"19.2",111,111,-1,1,-1,-1,1,-1
"19.3",112,112,-1,1,-1,-1,1,-1
"19.4",113,113,-1,1,-1,-1,1,-1
"19.5",114,114,-1,1,-1,-1,1,-1
"20",115,115,1,1,-1,-1,1,-1
"20.1",116,116,1,1,-1,-1,1,-1
"20.2",117,117,1,1,-1,-1,1,-1
"20.3",118,118,1,1,-1,-1,1,-1
"20.4",119,119,1,1,-1,-1,1,-1
"20.5",120,120,1,1,-1,-1,1,-1
"21",121,121,-1,-1,1,-1,1,-1
"21.1",122,122,-1,-1,1,-1,1,-1
"21.2",123,123,-1,-1,1,-1,1,-1
"21.3",124,124,-1,-1,1,-1,1,-1
"21.4",125,125,-1,-1,1,-1,1,-1
"21.5",126,126,-1,-1,1,-1,1,-1
"22",127,127,1,-1,1,-1,1,-1
"22.1",128,128,1,-1,1,-1,1,-1
"22.2",129,129,1,-1,1,-1,1,-1
